country,under-1992,under-1992-est,under-2000,under-2000-est,under-2008,under-2008-est,under-2016,under-2016-est,stunting-1992,stunting-1992-est,stunting-2000,stunting-2000-est,stunting-2008,stunting-2008-est,stunting-2016,stunting-2016-est,wasting-1992,wasting-1992-est,wasting-2000,wasting-2000-est,wasting-2008,wasting-2008-est,wasting-2016,wasting-2016-est,mortality-1992,mortality-2000,mortality-2008,mortality-2015
Afghanistan,35.6,,45.2,,27.7,,26.8,,51.1,*,54.7,*,51.3,*,40.9,,11.4,*,13.5,*,8.9,*,9.5,,16.8,13.7,11,9.1
Albania,6.6,*,6.1,*,10.6,*,8.5,*,37.5,*,39.2,,23.1,,15.7,*,9.3,*,12.2,,9.4,,6,*,3.7,2.6,1.8,1.4
Algeria,7.4,,8.7,,6.1,,2.9,*,22.9,,23.6,,13.2,*,11.7,,7.1,,3.1,,4.2,*,4.1,,4.5,4,2.9,2.6
Angola,64.5,,51.1,,25.8,,14.2,,52.8,*,46.6,*,29.2,,33.5,*,8.8,*,8.6,*,8.2,,7.2,*,22.6,21.7,19.2,15.7
Argentina,1.7,*,0.9,*,1.5,*,0.2,*,7.1,,8.7,*,8.2,,8.1,*,1.6,,1.7,*,1.2,,1.6,*,2.6,2,1.5,1.3
Armenia,-,,21.4,,6.1,,5.8,,24,*,17.7,,20.8,,12.9,*,4.6,*,2.5,,4.2,,3.3,*,4.5,3,2,1.4
Azerbaijan,-,,22.5,,3.5,*,1.7,*,29.1,*,24.1,,26.8,,18,,5.8,*,9,,6.8,,3.1,,9.5,7.4,4.3,3.2
Bahrain,-,,-,,-,,-,,15.3,*,13.7,*,9.2,*,9,*,7,*,6.7,*,5.3,*,5.2,*,2.2,1.3,0.9,0.6
Bangladesh,33.2,,23.1,,17,,16.4,,71.5,,54,,43.2,,36.4,,16.1,,13.8,,17.5,,14.3,,13.2,8.8,5.6,3.8
Belarus,-,,2.2,*,1.5,*,0.8,*,6.7,*,5.4,*,3.9,*,3.7,*,2.9,*,2.3,*,2.1,*,2.2,*,1.7,1.4,0.7,0.5
Benin,27.7,,23.9,,13,,7.5,,43.9,*,39.1,,44.7,,34,,11.5,*,9,,8.4,,4.5,,17,14.5,11.6,10
Bhutan,-,,-,,-,,-,,60.3,*,47.7,,34.9,,26.9,*,5.9,*,2.5,,4.7,,4.4,*,12.2,8,4.8,3.3
Bolivia,35.9,,34.6,,28,,15.9,,37.1,,33.1,,27.2,,18.1,,3.6,,1.6,,1.4,,1.6,,11.5,8,5.2,3.8
Bosnia & Herzegovina,-,,4.1,*,2.2,*,0.9,*,18.4,*,12.1,,11.8,,8.9,,5.9,*,7.4,,4,,2.3,,-,0.9,0.8,0.5
Botswana,26.7,,35.6,,32.5,,24.1,,37.3,*,29.1,,31.4,,23.2,*,12.2,*,6,,7.2,,5.8,*,5.9,8.3,6.2,4.4
Brazil,14.3,,12.3,,2.6,*,1.6,*,14.2,*,10.1,*,7.1,,6.1,*,2.7,*,2.2,*,1.6,,1.6,*,5.5,3.2,1.8,1.6
Bulgaria,5.3,*,7.7,*,8.8,*,9,*,11.7,*,9.9,*,8.1,*,7.5,*,3.8,*,3.4,*,3.3,*,3.2,*,2.3,2.1,1.4,1
Burkina Faso,24.5,,26.6,,24.2,,20.7,,40.7,,45.5,,35.1,,32.9,,15.5,,15.7,,11.3,,10.9,,20.2,18.6,13,8.9
Burundi,-,,-,,-,,-,,59.1,*,63.1,,58,*,57.5,,7.2,*,8.2,,7.3,*,6.1,,17.4,15.2,10.9,8.2
